city,state,HotelName,Address,PhoneNumber,HotelWebsite,HotelRating,Spa,Airport shuttle,Business Center,Pool,Contactless check,Pet friendly,Free Wifi,Wheel-chair accessible,Complementary breakfast,Fitness Center,24 hr front desk,Valet Parking,Open bar,smoking
Philadelphia,PA,Quality Inn  Airport,600 S Governor Printz Blvd LesterPennsylvania 19029,6105213909,http://www.qualityinn.com/hotel-lester-pennsylvania-PA378,2.0,0,1,0,0,0,0,0,1,0,0,1,1,0,1
Philadelphia,PA,Hilton Garden Inn Valley Forge Oaks,500 Cresson Boulevard PhoenixvillePennsylvania 19460,6106500880,http://hiltongardeninn3.hilton.com/en/hotels/pennsylvania/hilton-garden-inn-valley-forge-oaks-PHLPOGI/index.html,3.0,1,0,1,1,1,0,0,1,0,1,1,1,1,1
Philadelphia,PA,Travelodge by Wyndham Essington /  Airport,43 Industrial Highway EssingtonPA 19029,6105216650,https://www.booking.com/hotel/us/travelodge-by-wyndham-essington--philadelphia-airport.htm,2.0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
Philadelphia,PA,SpringHill Suites  Langhorne,200 N Buckstown Dr Lincoln PlazaLanghornePA 19047,2158915501,https://www.booking.com/hotel/us/springhill-suites-philadelphia-langhorne.htm,2.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0
Philadelphia,PA,Homewood University City  Pa,"4109 Walnut Street Philadelphia 19104Pennsylvania, , USA",2153821111,http://homewoodsuites3.hilton.com/en/hotels/pennsylvania/homewood-suites-by-hilton-university-city-philadelphia-pa-PHLUPHW/index.html,3.0,0,0,1,1,0,0,0,1,1,1,1,1,1,0
Philadelphia,PA,Hotel Monaco A Kimpton Hotel,433 Chestnut Street PhiladelphiaPennsylvania 19106,2159252111,http://www.monaco-philadelphia.com,4.0,1,0,1,0,1,0,0,1,1,0,1,1,1,0
Philadelphia,PA,Springhill Suites  Valley Forge king Of Prussia,875 Mancill Mill Road King Of PrussiaPennsylvania 19406,6107831400,http://www.marriott.de/hotels/travel/phlkp-springhill-suites-philadelphia-valley-forge-king-of-prussia/,3.0,0,0,1,1,1,0,0,1,1,1,1,1,0,0
Philadelphia,PA,The Rittenhouse Hotel,210 West Rittenhouse Square PhiladelphiaPennsylvania 19103,2155469000,http://www.rittenhousehotel.com,5.0,1,0,1,0,0,0,0,1,1,1,1,1,0,0
Philadelphia,PA,La Quinta Inn & Suites  Airport,53 Industrial Highway EssingtonPennsylvania 19029,6105219800,http://www.comfortinn.com/hotel-essington-pennsylvania-PA094,2.0,0,1,1,0,1,0,0,1,1,1,1,1,0,0
Philadelphia,PA,Best Western Center City,501 N 22Nd Street Philadelphia 19130 Philadelphia19130-3507 Pennsylvania,2155688300,http://book.bestwestern.com/bestwestern/productInfo.do?propertyCode=39087,3.0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
Philadelphia,PA,Holiday Inn Express  Penns Landing,100 North Christopher Columbus Boulevard PhiladelphiaPennsylvania 19106,2156277900,http://www.choicehotels.com,2.0,0,0,1,0,1,0,0,1,1,1,1,1,0,0
Philadelphia,PA,Days Inn  Roosevelt Boulevard,4200 Roosevelt Blvd PhiladelphiaPennsylvania 19124,2152899200,http://www.daysinn.com/hotels/pennsylvania/philadelphia/days-inn-philadelphia-roosevelt-boulevard/hotel-overview,2.0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
Philadelphia,PA,The Logan  Curio Collection by Hilton,One Logan Square PhiladelphiaPennsylvania 19103,2159631500,http://curiocollection3.hilton.com/en/hotels/pennsylvania/,4.0,1,0,1,1,1,0,0,1,1,1,1,1,0,0
Philadelphia,PA,Aloft  Airport,4301 Island Avenue PhiladelphiaPennsylvania 19153,2672981700,http://www.starwoodhotels.com/alofthotels/property/overview/index.html?propertyID=3181,3.0,0,1,1,1,1,0,0,1,1,1,1,1,1,0
Philadelphia,PA,Cornerstone Bed & Breakfast,3300 Baring Street Philadelphia 19104,2153876065,https://www.booking.com/hotel/us/cornerstone-bed-breakfast.html,3.0,1,0,0,0,0,0,1,0,1,0,1,1,1,0
Philadelphia,PA,Four Points by Sheraton  City Center,1201 Race Street PhiladelphiaPennsylvania 19107,2154962700,http://www.starwoodhotels.com/fourpoints/property/overview/contact.html?propertyID=1980,3.0,0,0,1,0,1,0,0,1,0,1,1,1,1,0
Philadelphia,PA,Homewood Suites by Hilton  City Avenue,4200 City Avenue PhiladelphiaPennsylvania 19131,2159663000,http://homewoodsuites.hilton.com/en/hw/hotels/index.jhtml?ctyhocn=PHLCAHW,3.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0
Philadelphia,PA,Bed & Breakfast Inn,211	Strafford Avenue WaynePennsylvania 19087,"",https://www.bnbinn.com,3.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
Philadelphia,PA,Holiday Inn Express  Airport,101 Taylor Avenue Essington 19029Pennsylvania,6105211200,http://www.hiexpress.com/hotels/us/en/essington/phlas/hoteldetail,2.0,0,1,1,0,0,0,0,1,1,1,1,1,0,0
Philadelphia,PA,Quality Inn,4 South New Middleton Road MediaPennsylvania 19063,6105655800,http://www.qualityinn.com/hotel-media-pennsylvania-PA560,2.0,0,0,1,0,0,0,0,0,1,1,1,1,0,1
Philadelphia,PA,Radisson Hotel,2033 Penrose Avenue PhiladelphiaPennsylvania 19145,2153364600,http://ramada-philadelphiacenter.h-rez.com,2.0,0,1,1,0,1,0,0,1,1,1,1,1,0,0
